product_id,category,subcategory,material,color,size,season,style,price_usd,discount_percent,rating,review_count,stock_quantity,units_sold,return_rate
WC000001,Jeans,Skinny Jeans,Denim,Red,M,Summer,Business Casual,37.0,0,0.0,0,2,14,0.17
WC000002,Dresses,Wrap Dress,Cotton,White,M,Winter,Casual,59.12,10,0.0,0,13,31,0.13
WC000003,T-Shirts,V-Neck T-Shirt,Cotton,Purple,M,All Season,Casual,27.65,0,0.0,0,10,2,0.11
WC000004,Sweaters,Oversized Sweater,Wool,Brown,S,Winter,Formal,72.64,0,2.9,17,104,292,0.14
WC000005,Sweaters,Oversized Sweater,Wool,White,M,Winter,Minimalist,72.61,40,0.0,0,12,15,0.07
WC000006,Dresses,Mini Dress,Cotton Blend,Black,XS,Autumn,Business Casual,100.69,15,4.0,1,39,17,0.1
WC000007,Blouses,Button-Up Blouse,Cotton Blend,Blue,XL,Spring,Minimalist,24.78,15,5.0,8,27,106,0.09
WC000008,Dresses,Shirt Dress,Cotton,Green,M,All Season,Bohemian,120.76,0,3.9,15,3,501,0.11
WC000009,Jumpsuits,Utility Jumpsuit,Cotton,Black,M,Winter,Bohemian,62.07,25,0.0,0,94,21,0.11
WC000010,Dresses,Shirt Dress,Cotton Blend,Black,M,Spring,Elegant,62.65,0,4.1,1,29,31,0.13
WC000011,Cardigans,Cropped Cardigan,Viscose,Gray,S,Spring,Business Casual,66.57,5,4.5,1,10,105,0.09
WC000012,Cardigans,Button-up Cardigan,Viscose,Red,S,All Season,Bohemian,89.01,0,3.9,3,28,37,0.12
WC000013,Jeans,Bootcut Jeans,Denim,Navy,S,Winter,Casual,78.37,0,4.0,9,4,96,0.16
WC000014,Blouses,Wrap Blouse,Polyester Blend,Navy,S,Spring,Formal,67.07,30,3.5,1,51,18,0.12
WC000015,T-Shirts,V-Neck T-Shirt,Viscose,Red,L,Summer,Casual,20.56,30,0.0,0,13,9,0.09
WC000016,Trousers,Wide-Leg Trousers,Cotton,Gray,S,Autumn,Minimalist,73.26,0,5.0,9,11,141,0.13
WC000017,Skirts,Pleated Skirt,Viscose,Red,M,Winter,Streetwear,44.63,0,0.0,0,41,12,0.13
WC000018,Sets,Matching Suit,Cotton Blend,Gray,XXL,All Season,Casual,76.46,10,4.1,25,8,259,0.09
WC000019,Jeans,Straight Jeans,Cotton Blend,Gray,M,Summer,Streetwear,99.3,0,4.4,1,47,26,0.13
WC000020,Blouses,Peplum Blouse,Polyester,White,L,Winter,Formal,24.25,10,4.1,3,2,138,0.06
WC000021,Sweaters,Oversized Sweater,Wool,Black,M,Winter,Minimalist,91.46,25,0.0,0,1,23,0.1
WC000022,Jeans,Bootcut Jeans,Denim,White,L,Winter,Elegant,40.34,5,4.6,107,148,1428,0.12
WC000023,T-Shirts,V-Neck T-Shirt,Cotton,Gray,S,Summer,Casual,13.86,0,4.3,2,23,31,0.07
WC000024,Tops,Tank Top,Cotton,Yellow,L,All Season,Elegant,44.28,0,0.0,0,16,9,0.07
WC000025,Blouses,Wrap Blouse,Cotton Blend,Navy,XS,All Season,Minimalist,33.85,0,4.0,5,0,76,0.1
WC000026,Skirts,Mini Skirt,Cotton,Black,L,Spring,Bohemian,49.29,30,5.0,9,24,154,0.13
WC000027,Jeans,Skinny Jeans,Denim,White,S,Winter,Streetwear,56.41,0,0.0,0,16,8,0.13
WC000028,Coats,Wool Coat,Polyester Blend,White,S,Winter,Minimalist,191.13,0,4.2,6,22,107,0.1
WC000029,T-Shirts,Basic T-Shirt,Cotton,Blue,XL,Summer,Casual,17.49,15,0.0,0,30,16,0.09
WC000030,Blouses,Peplum Blouse,Polyester,Black,XL,Winter,Business Casual,32.77,40,5.0,23,23,249,0.08
WC000031,Coats,Long Coat,Polyester Blend,Red,S,Autumn,Formal,81.67,5,4.0,14,4,282,0.11
WC000032,Jackets,Denim Jacket,Polyester,Beige,S,Autumn,Casual,119.16,0,4.9,3,117,182,0.11
WC000033,Jeans,Wide-Leg Jeans,Denim,Beige,L,Summer,Formal,63.74,0,0.0,0,20,26,0.15
WC000034,T-Shirts,V-Neck T-Shirt,Cotton Blend,Gray,M,All Season,Casual,20.62,0,4.5,3,0,32,0.06
WC000035,Loungewear,Lounge Set,Polyester Blend,Brown,S,Autumn,Casual,68.47,5,4.8,25,39,505,0.12
WC000036,Dresses,Wrap Dress,Polyester Blend,Black,M,Winter,Minimalist,57.74,0,0.0,0,3,2,0.17
WC000037,Coats,Trench Coat,Wool,Beige,L,Winter,Minimalist,215.66,20,4.6,2,21,28,0.12
WC000038,Dresses,Mini Dress,Cotton Blend,Navy,XXL,Autumn,Minimalist,104.96,0,3.8,42,1,500,0.1
WC000039,Dresses,Wrap Dress,Cotton Blend,Purple,XXL,All Season,Streetwear,106.9,30,4.0,7,5,83,0.14
WC000040,Tops,Tank Top,Cotton Blend,Black,S,Summer,Formal,36.73,20,0.0,0,76,4,0.1
WC000041,Loungewear,Sweatpants,Linen,Navy,M,Spring,Casual,59.76,20,4.7,9,37,92,0.1
WC000042,Dresses,Midi Dress,Polyester,Navy,L,Winter,Elegant,110.65,25,4.7,2,24,66,0.13
WC000043,Jeans,Wide-Leg Jeans,Denim,White,M,Autumn,Elegant,94.6,0,5.0,1,28,17,0.14
WC000044,Tops,Tank Top,Cotton,White,S,All Season,Elegant,22.34,0,3.5,1,0,23,0.12
WC000045,Jackets,Bomber Jacket,Denim,Black,M,Autumn,Streetwear,53.87,10,4.4,5,10,61,0.1
WC000046,T-Shirts,Basic T-Shirt,Cotton,White,L,All Season,Casual,23.77,5,3.6,2,11,47,0.09
