product_id,category,subcategory,material,color,size,season,style,price_usd,discount_percent,rating,review_count,stock_quantity,units_sold,return_rate,BAR,is_safe_return,effective_price,total_revenue,sales_velocity,review_weight,target_markup,target_revenue_per_unit,new_base_price,extra_profit_per_unit,urgency_score,is_dead_stock,high_return_risk,predicted_demand,return_risk_prob
WC000001,Jeans,Skinny Jeans,Denim,Red,M,Summer,Business Casual,37.0,0,0.0,0,2,14,0.17,4.17008432715662,False,37.0,518.0,0.875,0.8,0.0,37.0,37.0,0.0,4.666666666666667,False,1,14,0.7941
WC000002,Dresses,Wrap Dress,Cotton,White,M,Winter,Casual,59.12,10,0.0,0,13,31,0.13,4.17008432715662,False,53.208,1649.4479999999999,0.7045454545454546,0.8,0.0,59.12,59.12,0.0,2.2142857142857144,False,1,14,0.6663
WC000003,T-Shirts,V-Neck T-Shirt,Cotton,Purple,M,All Season,Casual,27.65,0,0.0,0,10,2,0.11,4.17008432715662,False,27.65,55.3,0.16666666666666666,0.8,0.0,27.65,27.65,0.0,0.18181818181818182,False,0,15,0.2333
WC000004,Sweaters,Oversized Sweater,Wool,Brown,S,Winter,Formal,72.64,0,2.9,17,104,292,0.14,3.1419208242203083,False,72.64,21210.88,0.7373737373737373,0.58,0.0,72.64,72.64,0.0,2.780952380952381,False,1,309,0.7152
WC000005,Sweaters,Oversized Sweater,Wool,White,M,Winter,Minimalist,72.61,40,0.0,0,12,15,0.07,4.17008432715662,False,43.565999999999995,653.4899999999999,0.5555555555555556,0.8,0.0,72.61,72.61,0.0,1.1538461538461537,False,0,13,0.2509
WC000006,Dresses,Mini Dress,Cotton Blend,Black,XS,Autumn,Business Casual,100.69,15,4.0,1,39,17,0.1,4.136067461725296,False,85.5865,1454.9705,0.30357142857142855,0.8,0.0,100.69,100.69,0.0,0.425,False,0,34,0.6582
WC000007,Blouses,Button-Up Blouse,Cotton Blend,Blue,XL,Spring,Minimalist,24.78,15,5.0,8,27,106,0.09,4.7233614423855395,False,21.063,2232.678,0.7969924812030075,1.0,0.0,24.78,24.78,0.0,3.7857142857142856,False,0,159,0.2587
WC000008,Dresses,Shirt Dress,Cotton,Green,M,All Season,Bohemian,120.76,0,3.9,15,3,501,0.11,3.956859858348762,False,120.76,60500.76,0.9940476190476191,0.78,0.0,120.76,120.76,0.0,125.25,False,0,255,0.6948
WC000009,Jumpsuits,Utility Jumpsuit,Cotton,Black,M,Winter,Bohemian,62.07,25,0.0,0,94,21,0.11,4.17008432715662,False,46.5525,977.6025000000001,0.1826086956521739,0.8,0.0,62.07,62.07,0.0,0.22105263157894736,False,0,15,0.2477
WC000010,Dresses,Shirt Dress,Cotton Blend,Black,M,Spring,Elegant,62.65,0,4.1,1,29,31,0.13,4.1560674617252955,False,62.65,1942.1499999999999,0.5166666666666667,0.82,0.0,62.65,62.65,0.0,1.0333333333333334,False,1,33,0.6903
